nsujet,ecole,age,sexe,niveau,originp,originm,statmar,adulthab,adtemp,tempsep,voipar,rencfois,travp,scolp,travm,scolm,negp1,negp2,negp3,negp4,negp5,negp6,negp7,negp8,negp9,negm1,negm2,negm3,negm4,negm5,negm6,negm7,negm8,negm9,dets1,dets2,dets3,dets4,dets5,dets6,dets7,dets8,dets9,dets10,dets11,dets12,dets13,dets14,deta1,deta2,deta3,deta4,deta5,deta6,deta7,deta8,deta9,deta10,deta11,deta12,deta13,deta14,mus1,mus2,mus3,mus4,mus5,mus6,mus7,mus8,mus9,mus10,mus11,mus12,mus13,mus14,mus15,mus16,mus17,mus18,muspre,mustemp,mushr,nbconc,musinst,muscomp,comphr,parimp,muscol,musheur,musagg,aprheur,aprmal,poster,info,pers,alien1,alien2,alien3,alien4,alien5,alien6,alien7,alien8,alien9,alien10,alien11,alien12,alien13,alien14,alien15,alien16,alien17,alien18,alien19,alien20,alien21,alien22,alien23,alien24,alien25,alien26,alien27,sui1,sui2,sui3,sui4a,sui4b,sui4c,sui4d,sui4e,sui4f,sui5,sui6,sui7,sui8,sui9a,sui9b,sui9c,sui9d,sui9e,sui9f,drog1,drog2,drog3,drog4
251.00,1.00,17.33,1.00,5.00,1.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,3.00,4.00,2.00,4.00,4.00,3.00,3.00,4.00,4.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,2.00,2.00,2.00,4.00,3.00,3.00,1.00,1.00,1.00,2.00,1.00,5.00,4.00,4.00,1.00,5.00,1.00,4.00,5.00,3.00,5.00,13.00,4.00,4.00,0.00,1.00,1.00,3.00,4.00,2.00,4.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,6.00,6.00,3.00,1.00,2.00,2.00,1.00,5.00,3.00,1.00,3.00,1.00,5.00,2.00,6.00,1.00,4.00,1.00,6.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,1.00
252.00,1.00,17.08,1.00,5.00,1.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,6.00,1.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,2.00,2.00,2.00,3.00,1.00,3.00,2.00,1.00,1.00,3.00,1.00,3.00,3.00,1.00,4.00,3.00,2.00,4.00,5.00,3.00,4.00,16.00,0.50,3.00,0.00,1.00,2.00,1.00,3.00,2.00,4.00,3.00,4.00,1.00,1.00,2.00,1.00,2.00,1.00,5.00,4.00,4.00,6.00,1.00,2.00,5.00,1.00,6.00,1.00,1.00,4.00,3.00,5.00,6.00,5.00,5.00,4.00,2.00,5.00,2.00,1.00,6.00,1.00,5.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,1.00
253.00,1.00,17.25,1.00,5.00,1.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,3.00,1.00,3.00,4.00,3.00,3.00,2.00,4.00,2.00,2.00,4.00,2.00,4.00,3.00,3.00,2.00,4.00,3.00,3.00,4.00,3.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,2.00,1.00,0.00,2.00,2.00,1.00,1.00,0.00,1.00,2.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,3.00,3.00,4.00,4.00,3.00,3.00,1.00,3.00,2.00,4.00,3.00,3.00,3.00,4.00,3.00,4.00,3.00,2.00,3.00,16.00,3.00,2.00,1.00,1.00,12.00,4.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,6.00,5.00,3.00,1.00,1.00,1.00,3.00,6.00,1.00,4.00,6.00,1.00,4.00,6.00,4.00,1.00,1.00,1.00,5.00,1.00,1.00,6.00,1.00,5.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00
260.00,1.00,17.08,2.00,5.00,1.00,1.00,3.00,2.00,9.00,9.00,1.00,48.00,1.00,#NULL!,1.00,#NULL!,4.00,4.00,2.00,2.00,4.00,3.00,2.00,4.00,4.00,4.00,4.00,3.00,2.00,3.00,3.00,3.00,4.00,4.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,4.00,1.00,3.00,3.00,1.00,1.00,2.00,1.00,2.00,4.00,3.00,4.00,4.00,3.00,3.00,4.00,3.00,4.00,13.00,3.00,2.00,0.00,1.00,2.00,2.00,2.00,1.00,3.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,6.00,6.00,6.00,1.00,1.00,1.00,2.00,6.00,1.00,1.00,6.00,5.00,5.00,6.00,6.00,5.00,1.00,1.00,5.00,1.00,1.00,6.00,1.00,5.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00
261.00,1.00,17.42,2.00,5.00,1.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,4.00,1.00,5.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,0.00,1.00,0.00,0.00,1.00,1.00,2.00,0.00,0.00,1.00,1.00,2.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,3.00,1.00,4.00,5.00,1.00,2.00,5.00,2.00,3.00,4.00,5.00,5.00,4.00,5.00,5.00,5.00,3.00,5.00,12.00,1.00,2.00,1.00,1.00,1.00,12.00,3.00,3.00,3.00,3.00,4.00,1.00,1.00,2.00,4.00,1.00,1.00,6.00,5.00,5.00,6.00,1.00,1.00,6.00,2.00,6.00,1.00,1.00,6.00,6.00,5.00,6.00,6.00,6.00,2.00,1.00,6.00,1.00,1.00,5.00,1.00,4.00,1.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,1.00,#NULL!,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00
262.00,1.00,17.25,2.00,5.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,6.00,2.00,3.00,4.00,4.00,3.00,3.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,3.00,4.00,3.00,3.00,2.00,3.00,2.00,4.00,4.00,4.00,4.00,4.00,2.00,4.00,5.00,3.00,5.00,18.00,6.00,8.00,0.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,6.00,6.00,5.00,1.00,1.00,1.00,1.00,6.00,1.00,1.00,5.00,2.00,5.00,6.00,6.00,6.00,1.00,1.00,6.00,1.00,1.00,6.00,1.00,5.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,1.00,1.00,1.00
263.00,1.00,16.83,2.00,5.00,1.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,3.00,1.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,4.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,4.00,1.00,1.00,4.00,1.00,1.00,1.00,4.00,1.00,4.00,12.00,1.00,1.00,0.00,2.00,2.00,0.00,1.00,1.00,4.00,1.00,4.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,5.00,6.00,5.00,1.00,2.00,1.00,1.00,6.00,1.00,3.00,3.00,4.00,5.00,4.00,6.00,1.00,2.00,1.00,6.00,1.00,1.00,6.00,2.00,1.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00
264.00,1.00,16.50,2.00,5.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,5.00,1.00,5.00,4.00,4.00,3.00,2.00,4.00,2.00,2.00,2.00,2.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,4.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,2.00,1.00,0.00,1.00,0.00,0.00,1.00,3.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,4.00,1.00,4.00,16.00,3.00,1.00,0.00,2.00,2.00,0.00,2.00,1.00,3.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,5.00,6.00,4.00,1.00,1.00,1.00,1.00,5.00,2.00,1.00,5.00,2.00,4.00,4.00,4.00,3.00,4.00,2.00,5.00,1.00,2.00,6.00,1.00,2.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00
265.00,1.00,18.25,2.00,5.00,9.00,9.00,3.00,5.00,18.00,18.00,2.00,0.00,#NULL!,#NULL!,1.00,6.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,1.00,3.00,3.00,0.00,3.00,1.00,0.00,1.00,3.00,0.00,2.00,1.00,3.00,3.00,1.00,3.00,3.00,0.00,3.00,1.00,0.00,1.00,3.00,0.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,5.00,3.00,3.00,16.00,4.00,30.00,1.00,1.00,1.00,20.00,4.00,1.00,3.00,3.00,2.00,4.00,2.00,3.00,4.00,6.00,6.00,2.00,3.00,4.00,1.00,1.00,4.00,1.00,6.00,4.00,6.00,6.00,1.00,4.00,3.00,2.00,2.00,3.00,6.00,5.00,1.00,2.00,6.00,3.00,1.00,1.00,1.00,1.00,5.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00
266.00,1.00,17.33,2.00,5.00,5.00,5.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,4.00,6.00,1.00,5.00,2.00,3.00,2.00,2.00,4.00,3.00,2.00,4.00,3.00,3.00,3.00,4.00,3.00,4.00,3.00,4.00,2.00,3.00,1.00,2.00,0.00,2.00,2.00,3.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,1.00,3.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,4.00,1.00,1.00,5.00,1.00,3.00,2.00,1.00,5.00,3.00,3.00,5.00,3.00,2.00,4.00,12.00,7.00,10.00,1.00,2.00,1.00,0.00,3.00,2.00,3.00,4.00,3.00,1.00,1.00,3.00,3.00,1.00,4.00,1.00,6.00,3.00,6.00,4.00,2.00,3.00,2.00,6.00,1.00,4.00,1.00,3.00,2.00,5.00,6.00,3.00,3.00,1.00,6.00,4.00,1.00,5.00,3.00,5.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,1.00,1.00
267.00,1.00,17.42,1.00,5.00,1.00,1.00,2.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,2.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,0.00,1.00,0.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,0.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,2.00,2.00,1.00,1.00,3.00,1.00,2.00,4.00,2.00,3.00,5.00,3.00,3.00,4.00,2.00,4.00,13.00,7.00,9.00,1.00,2.00,2.00,0.00,3.00,1.00,4.00,1.00,3.00,1.00,3.00,3.00,2.00,1.00,2.00,5.00,6.00,6.00,5.00,1.00,1.00,4.00,4.00,5.00,1.00,3.00,6.00,6.00,4.00,6.00,4.00,5.00,2.00,1.00,4.00,1.00,1.00,5.00,1.00,5.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00
268.00,1.00,16.92,2.00,5.00,7.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,6.00,4.00,3.00,4.00,4.00,2.00,3.00,4.00,3.00,2.00,4.00,3.00,2.00,4.00,2.00,2.00,3.00,2.00,2.00,3.00,1.00,0.00,0.00,1.00,0.00,2.00,1.00,2.00,0.00,1.00,0.00,2.00,2.00,2.00,2.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,3.00,4.00,5.00,3.00,3.00,3.00,2.00,3.00,4.00,4.00,4.00,3.00,2.00,4.00,3.00,3.00,3.00,5.00,18.00,3.00,1.00,0.00,1.00,2.00,1.00,2.00,3.00,3.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,5.00,2.00,1.00,2.00,1.00,3.00,5.00,2.00,1.00,4.00,5.00,2.00,6.00,2.00,2.00,3.00,4.00,2.00,2.00,1.00,5.00,2.00,2.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00
269.00,1.00,17.17,2.00,5.00,1.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,3.00,2.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,0.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,3.00,1.00,2.00,3.00,1.00,1.00,3.00,2.00,2.00,2.00,2.00,4.00,4.00,3.00,3.00,2.00,2.00,#NULL!,13.00,5.00,1.00,0.00,2.00,2.00,0.00,4.00,3.00,3.00,4.00,3.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,5.00,2.00,4.00,2.00,2.00,2.00,5.00,2.00,4.00,5.00,5.00,4.00,5.00,6.00,5.00,4.00,4.00,4.00,4.00,4.00,5.00,2.00,4.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00
270.00,1.00,17.42,1.00,5.00,1.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,5.00,2.00,5.00,4.00,4.00,4.00,3.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,1.00,1.00,0.00,2.00,1.00,2.00,2.00,2.00,0.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,0.00,2.00,2.00,1.00,2.00,1.00,0.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,4.00,4.00,1.00,1.00,1.00,1.00,4.00,5.00,3.00,4.00,1.00,1.00,5.00,5.00,3.00,5.00,10.00,4.50,2.50,2.00,1.00,1.00,2.50,3.00,1.00,3.00,2.00,3.00,1.00,1.00,2.00,1.00,4.00,4.00,2.00,5.00,5.00,1.00,1.00,3.00,2.00,4.00,4.00,4.00,2.00,5.00,5.00,5.00,5.00,3.00,3.00,4.00,2.00,5.00,2.00,4.00,1.00,2.00,4.00,1.00,1.00,3.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,#NULL!,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00
271.00,1.00,16.75,2.00,5.00,10.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,6.00,2.00,3.00,3.00,3.00,3.00,2.00,4.00,2.00,2.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,4.00,1.00,0.00,2.00,3.00,1.00,0.00,2.00,0.00,2.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,1.00,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.00,1.00,4.00,3.00,4.00,2.00,3.00,1.00,3.00,1.00,5.00,3.00,5.00,3.00,1.00,2.00,3.00,5.00,1.00,5.00,9.00,5.00,10.00,1.00,2.00,2.00,0.00,4.00,1.00,1.00,2.00,4.00,1.00,3.00,2.00,1.00,2.00,1.00,1.00,4.00,6.00,4.00,5.00,3.00,1.00,1.00,3.00,2.00,2.00,1.00,5.00,4.00,5.00,4.00,2.00,4.00,1.00,6.00,1.00,1.00,5.00,2.00,4.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,3.00,1.00,1.00
272.00,1.00,16.42,2.00,5.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,5.00,1.00,5.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,2.00,4.00,1.00,1.00,3.00,2.00,4.00,5.00,4.00,2.00,2.00,5.00,3.00,2.00,2.00,5.00,3.00,3.00,8.00,2.00,10.00,1.00,2.00,2.00,0.00,3.00,2.00,4.00,3.00,3.00,1.00,1.00,2.00,2.00,2.00,2.00,6.00,5.00,5.00,6.00,2.00,2.00,2.00,3.00,6.00,2.00,1.00,5.00,2.00,5.00,5.00,4.00,5.00,2.00,1.00,5.00,2.00,1.00,5.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,#NULL!,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,1.00,1.00,1.00
273.00,1.00,17.08,2.00,5.00,10.00,1.00,3.00,2.00,3.00,3.00,1.00,36.00,1.00,3.00,1.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,1.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,3.00,4.00,2.00,3.00,0.00,2.00,3.00,2.00,2.00,1.00,0.00,2.00,1.00,2.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,4.00,4.00,1.00,1.00,2.00,1.00,4.00,5.00,1.00,1.00,1.00,3.00,3.00,3.00,2.00,4.00,10.00,1.00,37.00,5.00,1.00,1.00,10.00,4.00,3.00,3.00,2.00,3.00,3.00,2.00,3.00,3.00,2.00,5.00,2.00,4.00,2.00,4.00,1.00,4.00,2.00,5.00,3.00,6.00,3.00,4.00,3.00,4.00,5.00,3.00,2.00,5.00,5.00,4.00,4.00,1.00,5.00,2.00,3.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,#NULL!,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,4.00,1.00,1.00
274.00,1.00,16.75,2.00,5.00,1.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,5.00,1.00,3.00,3.00,3.00,2.00,3.00,4.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00,3.00,4.00,2.00,2.00,3.00,3.00,2.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,2.00,1.00,2.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,2.00,5.00,2.00,2.00,5.00,4.00,2.00,3.00,4.00,2.00,2.00,2.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,7.00,2.00,1.00,1.00,14.00,3.00,2.00,3.00,2.00,2.00,1.00,3.00,1.00,3.00,3.00,2.00,2.00,2.00,4.00,5.00,4.00,3.00,4.00,2.00,4.00,3.00,5.00,2.00,5.00,5.00,4.00,4.00,3.00,5.00,4.00,4.00,3.00,4.00,4.00,4.00,2.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,3.00,1.00,1.00
275.00,1.00,17.00,2.00,5.00,10.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,3.00,1.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,1.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00,2.00,0.00,1.00,0.00,3.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,4.00,5.00,1.00,3.00,3.00,1.00,3.00,13.00,2.00,3.00,0.00,2.00,2.00,0.00,3.00,1.00,4.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,6.00,6.00,6.00,6.00,2.00,2.00,3.00,1.00,6.00,1.00,5.00,1.00,5.00,6.00,5.00,4.00,4.00,3.00,1.00,6.00,1.00,1.00,6.00,1.00,5.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,3.00,1.00,1.00
276.00,1.00,17.42,2.00,5.00,1.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,3.00,1.00,3.00,4.00,3.00,3.00,3.00,4.00,3.00,2.00,2.00,2.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,3.00,1.00,2.00,0.00,2.00,2.00,2.00,1.00,2.00,0.00,0.00,2.00,1.00,2.00,1.00,1.00,1.00,0.00,2.00,2.00,2.00,1.00,1.00,0.00,0.00,2.00,1.00,1.00,0.00,#NULL!,4.00,3.00,1.00,1.00,1.00,2.00,5.00,5.00,3.00,3.00,3.00,3.00,1.00,3.00,5.00,1.00,4.00,16.00,3.00,2.00,0.00,2.00,2.00,0.00,2.00,2.00,4.00,4.00,4.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,6.00,5.00,1.00,1.00,1.00,3.00,6.00,2.00,1.00,1.00,6.00,4.00,6.00,5.00,5.00,3.00,3.00,5.00,4.00,4.00,6.00,1.00,3.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00
277.00,1.00,17.33,2.00,5.00,6.00,1.00,3.00,3.00,17.00,0.25,1.00,200.00,1.00,6.00,1.00,5.00,3.00,3.00,3.00,2.00,4.00,3.00,2.00,3.00,1.00,3.00,3.00,3.00,2.00,4.00,3.00,2.00,3.00,1.00,3.00,2.00,0.00,3.00,1.00,3.00,1.00,0.00,0.00,3.00,3.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,4.00,3.00,2.00,4.00,2.00,3.00,4.00,3.00,4.00,2.00,3.00,5.00,1.00,3.00,4.00,1.00,3.00,13.00,0.67,8.00,0.00,2.00,2.00,0.00,2.00,3.00,3.00,2.00,4.00,2.00,1.00,2.00,3.00,2.00,2.00,5.00,3.00,3.00,4.00,1.00,2.00,4.00,4.00,6.00,2.00,4.00,3.00,5.00,4.00,5.00,4.00,5.00,3.00,4.00,5.00,4.00,2.00,4.00,2.00,5.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,2.00,1.00,1.00
278.00,1.00,15.75,1.00,4.00,1.00,1.00,1.00,1.00,15.00,#NULL!,#NULL!,#NULL!,1.00,#NULL!,2.00,#NULL!,4.00,4.00,4.00,3.00,4.00,4.00,2.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,3.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00,2.00,1.00,3.00,2.00,1.00,2.00,1.00,1.00,5.00,3.00,1.00,5.00,3.00,1.00,3.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,5.00,6.00,2.00,1.00,1.00,4.00,3.00,2.00,2.00,2.00,3.00,1.00,3.00,2.00,2.00,4.00,5.00,1.00,2.00,5.00,4.00,2.00,2.00,4.00,4.00,5.00,3.00,5.00,3.00,5.00,4.00,5.00,4.00,4.00,5.00,5.00,4.00,3.00,4.00,5.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,5.00,1.00,3.00
